county,arson_x,campfire_x,debris_burning_x,elec._power_x,equip._use_x,ltng._x,misc._x,p-w-f_x,railroad_x,smoking_x,undet._x,vehicle_x,year_x,region_x,.25_acres_or_<_x,.26-9.99_acres_x,10-99_acres_x,100-299_acres_x,300-999_acres_x,1000-4999_acres_x,5000_acres_>_x,year_y,region_y,arson_y,campfire_y,debris_burning_y,elec._power_y,equip._use_y,ltng._y,misc._y,p-w-f_y,railroad_y,smoking_y,undet._y,vehicle_y,year_x.1,region_x.1,brush,grass,timber,woodland,other,year_y.1,region_y.1,arson,campfire,debris_burning,equip._use,ltng.,misc.,powerline,p-w-f,rail-road,smoking,undet.,vehicle,year_,region_,.25_acres_or_<_y,.26-9.99_acres_y,10-99_acres_y,100-299_acres_y,300-999_acres_y,1000-4999_acres_y,5000_acres_>_y,year,region,county_year
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,0.0,0.0,6896.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Tehama_2013
Tehama,9.0,0.0,7.0,9.0,10.0,8.0,11.0,1.0,0.0,1.0,17.0,3.0,2013.0,north,27.0,39.0,6.0,3.0,0.0,0.0,1.0,2013.0,north,7.0,0.0,107.0,"11,647",51,209.0,8,1.0,0.0,22.0,115,1.0,2013.0,Northern,9.0,12117.0,2.0,5.0,35.0,2013.0,north,$0 ,$0 ,$0 ,"$61,500 ","$6,900 ",$300 ,"$15,000 ",$600 ,$0 ,"$5,000 ","$254,100 ","$3,000 ",2013.0,north,"$3,500 ","$276,900 ","$5,000 ","$11,000 ",$0 ,$0 ,"$50,000 ",2013.0,north,Tehama_2013
Tulare,12.0,2.0,3.0,6.0,13.0,4.0,5.0,0.0,0.0,0.0,8.0,7.0,2013.0,south,25.0,29.0,4.0,2.0,0.0,0.0,0.0,2013.0,south,246.0,1.0,1.0,12,257,3.0,2,0.0,0.0,0.0,3,4.0,2013.0,Southern,0.0,522.0,1.0,0.0,6.0,2013.0,south,"$15,000 ",$0 ,$0 ,$500 ,"$15,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$20 ,$0 ,2013.0,south,$500 ,$120 ,$300 ,"$30,000 ",$0 ,$0 ,$0 ,2013.0,south,Tulare_2013
Tuolumne,2.0,2.0,17.0,8.0,8.0,1.0,18.0,1.0,0.0,2.0,18.0,6.0,2013.0,south,53.0,28.0,1.0,1.0,0.0,0.0,0.0,2013.0,south,0.0,0.0,8.0,7,16,1.0,13,0.0,0.0,1.0,152,5.0,2013.0,Southern,0.0,185.0,2.0,1.0,15.0,2013.0,south,$0 ,$100 ,$802 ,"$35,650 ","$66,850 ",$0 ,$510 ,$0 ,$0 ,$600 ,"$1,110 ","$1,550 ",2013.0,south,"$6,300 ","$99,372 ",$500 ,"$1,000 ",$0 ,$0 ,$0 ,2013.0,south,Tuolumne_2013
W. San Joaquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2013.0,north,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1,0.0,2013.0,Northern,0.0,1.0,0.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,W. San Joaquin_2013
W. Stanislaus,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,2013.0,north,4.0,7.0,1.0,1.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,0.0,40,14,0.0,3,0.0,0.0,0.0,128,5.0,2013.0,Northern,0.0,190.0,0.0,0.0,0.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$2,000 ",$0 ,"$90,000 ",$0 ,$0 ,$0 ,"$27,100 ",$0 ,2013.0,north,$0 ,"$92,000 ",$0 ,"$27,100 ",$0 ,$0 ,$0 ,2013.0,north,W. Stanislaus_2013
Yolo,0.0,0.0,3.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,2013.0,north,6.0,13.0,0.0,1.0,0.0,0.0,0.0,2013.0,north,0.0,0.0,1.0,9,170,0.0,1,0.0,0.0,0.0,8,0.0,2013.0,Northern,3.0,185.0,0.0,0.0,1.0,2013.0,north,$0 ,$0 ,$0 ,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,$0 ,"$15,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,2013.0,north,Yolo_2013
Yuba,2.0,0.0,12.0,5.0,9.0,0.0,4.0,0.0,0.0,1.0,15.0,3.0,2013.0,north,10.0,37.0,4.0,0.0,0.0,0.0,0.0,2013.0,north,1.0,0.0,15.0,4,9,0.0,67,0.0,0.0,1.0,123,9.0,2013.0,Northern,0.0,192.0,2.0,1.0,34.0,2013.0,north,$0 ,$0 ,"$1,000 ","$1,007 ","$5,250 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$17,000 ",2013.0,north,"$5,000 ","$19,257 ","$10,000 ",$0 ,$0 ,$0 ,$0 ,2013.0,north,Yuba_2013
Lassen-Modoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 ,$0 ,$34 ,$0 ,$1 ,"$28,984 ","$1,220 ","$1,000 ",$0 ,$3 ,"$4,650 ","$1,011 ",2013.0,north,,,,,,,,,,Lassen-Modoc_2013
